timestamp,device_id,source,frame_id,track_id,n_potholes_in_group,width_cm,height_cm,box_area_cm2,pixel_area_cm2,box_area_m2,pixel_area_m2,repair_box_w_m,repair_box_h_m,repair_box_area_m2,repair_label,confidence,method,centroid_u,centroid_v,repair_box_x1,repair_box_y1,repair_box_x2,repair_box_y2,gps_lat,gps_lon,alt_m,speed_km,gps_utc,weather,image_file
2026-05-08 20:26:47,RPi_001,rpi_camera,340,3,1,19.9,9.4,186,140,0.0186,0.0140,0.5,0.5,0.2500,0.5m x 0.5m,0.69,IE_KAL,578.5,517.8,370,416,786,619,-33.958667,18.459818,122.2,0.0,080526182640.0,Mostly Clear,
2026-05-08 20:26:47,RPi_001,rpi_camera,341,3,1,19.9,9.6,191,138,0.0191,0.0138,0.5,0.5,0.2500,0.5m x 0.5m,0.73,IE_KAL,578.9,517.8,370,415,787,619,-33.958667,18.459818,122.2,0.0,080526182640.0,Mostly Clear,
2026-05-08 20:26:47,RPi_001,rpi_camera,342,3,1,19.9,9.6,191,139,0.0191,0.0139,0.5,0.5,0.2500,0.5m x 0.5m,0.74,IE_KAL,578.9,517.8,370,415,787,619,-33.958667,18.459818,122.2,0.0,080526182640.0,Mostly Clear,
2026-05-08 20:26:47,RPi_001,rpi_camera,343,3,1,19.9,9.1,182,140,0.0182,0.0140,0.5,0.5,0.2500,0.5m x 0.5m,0.73,IE_KAL,578.9,517.6,370,416,786,618,-33.958667,18.459818,122.2,0.0,080526182640.0,Mostly Clear,
2026-05-08 20:26:47,RPi_001,rpi_camera,344,3,1,19.9,9.1,182,139,0.0182,0.0139,0.5,0.5,0.2500,0.5m x 0.5m,0.73,IE_KAL,578.9,517.5,370,416,786,618,-33.958667,18.459818,122.2,0.0,080526182640.0,Mostly Clear,
2026-05-08 20:26:47,RPi_001,rpi_camera,345,3,1,19.9,9.4,186,140,0.0186,0.0140,0.5,0.5,0.2500,0.5m x 0.5m,0.73,IE_KAL,578.6,517.7,370,416,786,619,-33.958667,18.459818,122.2,0.0,080526182640.0,Mostly Clear,
2026-05-08 20:26:47,RPi_001,rpi_camera,346,3,1,19.9,9.4,186,140,0.0186,0.0140,0.5,0.5,0.2500,0.5m x 0.5m,0.73,IE_KAL,579.0,517.7,370,416,787,619,-33.958667,18.459818,122.2,0.0,080526182640.0,Mostly Clear,
2026-05-08 20:26:47,RPi_001,rpi_camera,347,3,1,19.9,9.4,186,139,0.0186,0.0139,0.5,0.5,0.2500,0.5m x 0.5m,0.73,IE_KAL,578.5,517.7,370,416,786,619,-33.958667,18.459818,122.2,0.0,080526182640.0,Mostly Clear,
2026-05-08 20:26:47,RPi_001,rpi_camera,348,3,1,19.9,9.4,186,139,0.0186,0.0139,0.5,0.5,0.2500,0.5m x 0.5m,0.71,IE_KAL,578.9,517.7,370,416,787,619,-33.958667,18.459818,122.2,0.0,080526182640.0,Mostly Clear,
2026-05-08 20:26:47,RPi_001,rpi_camera,349,3,1,19.9,9.1,182,139,0.0182,0.0139,0.5,0.5,0.2500,0.5m x 0.5m,0.74,IE_KAL,578.9,517.5,370,416,786,618,-33.958667,18.459818,122.2,0.0,080526182640.0,Mostly Clear,
2026-05-08 20:26:47,RPi_001,rpi_camera,350,3,1,19.9,9.1,182,139,0.0182,0.0139,0.5,0.5,0.2500,0.5m x 0.5m,0.72,IE_KAL,579.1,517.9,370,416,787,619,-33.958667,18.459818,122.2,0.0,080526182640.0,Mostly Clear,
2026-05-08 20:26:47,RPi_001,rpi_camera,351,3,1,19.9,9.1,182,139,0.0182,0.0139,0.5,0.5,0.2500,0.5m x 0.5m,0.74,IE_KAL,578.7,517.6,370,416,786,618,-33.958667,18.459818,122.2,0.0,080526182640.0,Mostly Clear,
2026-05-08 20:26:47,RPi_001,rpi_camera,352,3,1,20.2,9.6,193,141,0.0193,0.0141,0.5,0.5,0.2500,0.5m x 0.5m,0.73,IE_KAL,578.5,517.8,370,415,786,619,-33.958667,18.459818,122.2,0.0,080526182640.0,Mostly Clear,
2026-05-08 20:26:48,RPi_001,rpi_camera,353,3,1,20.2,9.1,184,140,0.0184,0.0140,0.5,0.5,0.2500,0.5m x 0.5m,0.71,IE_KAL,578.4,517.6,370,416,786,618,-33.958667,18.459818,122.2,0.0,080526182640.0,Mostly Clear,
2026-05-08 20:26:48,RPi_001,rpi_camera,354,3,1,20.2,9.6,193,140,0.0193,0.0140,0.5,0.5,0.2500,0.5m x 0.5m,0.71,IE_KAL,578.5,517.8,370,415,786,619,-33.958667,18.459818,122.2,0.0,080526182640.0,Mostly Clear,
